,_index,uid,instance_type,instance_category,instance_generation,release_month,release_year,product_page,announcement_url,date,Instance,Memory (GiB),Processor,vCPUs,CPU cores,Threads per core,Accelerator count,Accelerators,Accelerator memory,category
57,66,54c223e8fbfafa85,c5.9xlarge,Compute Optimized,Current generation,November,2017,https://aws.amazon.com/ec2/instance-types/c5/,https://aws.amazon.com/about-aws/whats-new/2017/11/introducing-amazon-ec2-c5-instances-the-next-generation-of-compute-optimized-instances/,2017-11-01,c5.9xlarge,72.0,Intel Xeon Platinum 8124M,36,18,2,,,,compute
58,67,3eb542308a51ab4e,c5.18xlarge,Compute Optimized,Current generation,November,2017,https://aws.amazon.com/ec2/instance-types/c5/,https://aws.amazon.com/about-aws/whats-new/2017/11/introducing-amazon-ec2-c5-instances-the-next-generation-of-compute-optimized-instances/,2017-11-01,c5.18xlarge,144.0,Intel Xeon Platinum 8124M,72,36,2,,,,compute
59,68,d821f375cbd16aee,f1.2xlarge,Accelerated Computing,Current generation,November,2016,https://aws.amazon.com/ec2/previous-generation/,https://aws.amazon.com/about-aws/whats-new/2016/11/available-for-preview-amazon-ec2-f1-instances-custom-fpgas-for-hardware-acceleration/,2016-11-01,f1.2xlarge,122.0,Intel Xeon E5-2686v4,8,4,2,1.0,Xilinx Virtex UltraScale (VU9P),64.0,accelerator
60,69,1c07427ea1823aea,f1.16xlarge,Accelerated Computing,Current generation,November,2016,https://aws.amazon.com/ec2/previous-generation/,https://aws.amazon.com/about-aws/whats-new/2016/11/available-for-preview-amazon-ec2-f1-instances-custom-fpgas-for-hardware-acceleration/,2016-11-01,f1.16xlarge,976.0,Intel Xeon E5-2686v4,64,32,2,8.0,Xilinx Virtex UltraScale (VU9P),64.0,accelerator
61,70,200d7ac4830d3849,i3.large,Storage Optimized,Current generation,November,2016,https://aws.amazon.com/ec2/instance-types/i3/,https://aws.amazon.com/about-aws/whats-new/2016/11/coming-soon-amazon-ec2-i3-instances-next-generation-storage-optimized-high-io-instances/,2016-11-01,i3.large,15.25,Intel Broadwell E5-2686v4,2,1,2,,,,storage
62,71,bbca9951fd0320c9,i3.xlarge,Storage Optimized,Current generation,November,2016,https://aws.amazon.com/ec2/instance-types/i3/,https://aws.amazon.com/about-aws/whats-new/2016/11/coming-soon-amazon-ec2-i3-instances-next-generation-storage-optimized-high-io-instances/,2016-11-01,i3.xlarge,30.5,Intel Broadwell E5-2686v4,4,2,2,,,,storage
63,72,34817e1fc0be25d0,i3.2xlarge,Storage Optimized,Current generation,November,2016,https://aws.amazon.com/ec2/instance-types/i3/,https://aws.amazon.com/about-aws/whats-new/2016/11/coming-soon-amazon-ec2-i3-instances-next-generation-storage-optimized-high-io-instances/,2016-11-01,i3.2xlarge,61.0,Intel Broadwell E5-2686v4,8,4,2,,,,storage
64,73,40e7afb86f0bc152,i3.4xlarge,Storage Optimized,Current generation,November,2016,https://aws.amazon.com/ec2/instance-types/i3/,https://aws.amazon.com/about-aws/whats-new/2016/11/coming-soon-amazon-ec2-i3-instances-next-generation-storage-optimized-high-io-instances/,2016-11-01,i3.4xlarge,122.0,Intel Broadwell E5-2686v4,16,8,2,,,,storage
65,74,8ec4ff52288a7c5f,i3.8xlarge,Storage Optimized,Current generation,November,2016,https://aws.amazon.com/ec2/instance-types/i3/,https://aws.amazon.com/about-aws/whats-new/2016/11/coming-soon-amazon-ec2-i3-instances-next-generation-storage-optimized-high-io-instances/,2016-11-01,i3.8xlarge,244.0,Intel Broadwell E5-2686v4,32,16,2,,,,storage
66,75,a50e2b8f7b717005,i3.16xlarge,Storage Optimized,Current generation,November,2016,https://aws.amazon.com/ec2/instance-types/i3/,https://aws.amazon.com/about-aws/whats-new/2016/11/coming-soon-amazon-ec2-i3-instances-next-generation-storage-optimized-high-io-instances/,2016-11-01,i3.16xlarge,488.0,Intel Broadwell E5-2686v4,64,32,2,,,,storage
67,76,5c293db37c8b7a4b,r4.large,Memory Optimized,Previous generation,November,2016,https://aws.amazon.com/ec2/previous-generation/,https://aws.amazon.com/about-aws/whats-new/2016/11/introducing-amazon-ec2-r4-instances-the-next-generation-of-memory-optimized-instances/,2016-11-01,r4.large,15.25,Intel Broadwell E5-2686v4,2,1,2,,,,previous
68,77,104da1289de12615,r4.xlarge,Memory Optimized,Previous generation,November,2016,https://aws.amazon.com/ec2/previous-generation/,https://aws.amazon.com/about-aws/whats-new/2016/11/introducing-amazon-ec2-r4-instances-the-next-generation-of-memory-optimized-instances/,2016-11-01,r4.xlarge,30.5,Intel Broadwell E5-2686v4,4,2,2,,,,previous
